athlete_id,year,meet_name,time,place,all_american
68101,2023,NCAA Division III Cross Country Championships,1599.5244,244.0,0
68102,2023,NCAA Division III Cross Country Championships,1534.7079,79.0,0
68105,2023,NCAA Division III Cross Country Championships,1536.7083,83.0,0
68106,2023,NCAA Division III Cross Country Championships,1603.4252000000001,252.0,0
27147,2022,NCAA Division III Cross Country Championships,1593.0186,186.0,0
27147,2021,NCAA Division III Cross Country Championships,1549.6,240.0,0
61989,2023,NCAA Division III Cross Country Championships,1551.5124,124.0,0
47664,2023,NCAA Division III Cross Country Championships,1505.3036,36.0,1
47664,2021,NCAA Division III Cross Country Championships,1497.7,119.0,0
49750,2023,NCAA Division III Cross Country Championships,1498.1028,28.0,1
49750,2022,NCAA Division III Cross Country Championships,1565.5099,99.0,0
49750,2021,NCAA Division III Cross Country Championships,1480.1,75.0,0
6743,2021,NCAA Division III Cross Country Championships,1458.7,32.0,1
6744,2022,NCAA Division III Cross Country Championships,1521.7017,17.0,1
6744,2021,NCAA Division III Cross Country Championships,1502.1,139.0,0
53850,2023,NCAA Division III Cross Country Championships,1479.6008,8.0,1
53850,2021,NCAA Division III Cross Country Championships,1496.5,114.0,0
53851,2023,NCAA Division III Cross Country Championships,1548.5114,114.0,0
53851,2022,NCAA Division III Cross Country Championships,1559.9083,83.0,0
53852,2023,NCAA Division III Cross Country Championships,1472.0005,5.0,1
53852,2022,NCAA Division III Cross Country Championships,1523.702,20.0,1
53852,2021,NCAA Division III Cross Country Championships,1538.8,214.0,0
53853,2023,NCAA Division III Cross Country Championships,1563.2156,156.0,0
53853,2022,NCAA Division III Cross Country Championships,1579.7148,148.0,0
2654,2022,NCAA Division III Cross Country Championships,1610.9224000000002,224.0,0
2654,2021,NCAA Division III Cross Country Championships,1498.0,122.0,0
6751,2021,NCAA Division III Cross Country Championships,1501.4,135.0,0
6750,2022,NCAA Division III Cross Country Championships,1630.1253,253.0,0
6750,2021,NCAA Division III Cross Country Championships,1551.9,249.0,0
6754,2021,NCAA Division III Cross Country Championships,1514.9,173.0,0
6760,2022,NCAA Division III Cross Country Championships,1562.0091,91.0,0
6760,2021,NCAA Division III Cross Country Championships,1545.6,232.0,0
6762,2022,NCAA Division III Cross Country Championships,1541.9044000000001,44.0,0
6762,2021,NCAA Division III Cross Country Championships,1476.5,64.0,0
6763,2021,NCAA Division III Cross Country Championships,1540.4,220.0,0
6769,2022,NCAA Division III Cross Country Championships,1596.3193999999999,194.0,0
6769,2021,NCAA Division III Cross Country Championships,1477.8,68.0,0
4726,2021,NCAA Division III Cross Country Championships,1465.7,45.0,0
6774,2021,NCAA Division III Cross Country Championships,1566.4,263.0,0
4729,2021,NCAA Division III Cross Country Championships,1452.7,25.0,1
6778,2021,NCAA Division III Cross Country Championships,1590.6,281.0,0
4733,2023,NCAA Division III Cross Country Championships,1517.0049,49.0,0
4733,2022,NCAA Division III Cross Country Championships,1629.8252,252.0,0
4733,2021,NCAA Division III Cross Country Championships,1502.0,138.0,0
4734,2021,NCAA Division III Cross Country Championships,1446.5,16.0,1
76414,2023,NCAA Division III Cross Country Championships,1538.9092,92.0,0
76415,2023,NCAA Division III Cross Country Championships,1554.213,130.0,0
33411,2021,NCAA Division III Cross Country Championships,1509.6,163.0,0
33412,2022,NCAA Division III Cross Country Championships,1654.0268,268.0,0
33416,2023,NCAA Division III Cross Country Championships,1576.1192999999998,193.0,0
33418,2023,NCAA Division III Cross Country Championships,1648.4282,282.0,0
33418,2022,NCAA Division III Cross Country Championships,1653.7267,267.0,0
4748,2022,NCAA Division III Cross Country Championships,1561.7089,89.0,0
55948,2023,NCAA Division III Cross Country Championships,1586.2217,217.0,0
62098,2023,NCAA Division III Cross Country Championships,1568.8165999999999,166.0,0
4759,2022,NCAA Division III Cross Country Championships,1551.6062,62.0,0
4759,2021,NCAA Division III Cross Country Championships,1504.9,147.0,0
66203,2023,NCAA Division III Cross Country Championships,1553.5129,129.0,0
66210,2023,NCAA Division III Cross Country Championships,1570.2173,173.0,0
6820,2023,NCAA Division III Cross Country Championships,1551.0121,121.0,0
6820,2022,NCAA Division III Cross Country Championships,1581.5154,154.0,0
4774,2022,NCAA Division III Cross Country Championships,1609.4221,221.0,0
4774,2021,NCAA Division III Cross Country Championships,1507.4,158.0,0
4778,2022,NCAA Division III Cross Country Championships,1595.7191,191.0,0
