Athlete ID,Meet Date,Meet Name,Race Distance,Time,Place
50857,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1549.0117,117
57374,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1549.1118,118
68441,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1549.3119,119
69516,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1549.512,120
6820,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1551.0121,121
71244,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1551.1121999999998,122
62357,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1551.4123000000002,123
61989,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1551.5124,124
50960,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1551.5125,125
85389,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1552.1126,126
71882,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1553.3127,127
26352,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1553.5128,128
66203,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1553.5129,129
76415,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1554.213,130
54091,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1554.2131,131
80209,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1554.3132,132
52171,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1554.7133000000001,133
71917,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1555.6134,134
71877,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1556.0135,135
61057,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1556.0136,136
42828,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1556.3137,137
