Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American,Nationals Place,Nationals Time
102923,2025,Andrew Namatka,SO,Lebanon Valley,6,1515.6011999999998,1515.6011999999998,30.25137507185513,35,0,151,1540.3151
88600,2025,Max Sporaa,JR,Wis.-Platteville,5,1510.1034,1510.1034,19.020569098888732,21,0,152,1540.5152
99384,2025,Sean Heetland,SO,Wis.-Stevens Point,5,1502.4027,1502.4027,19.53588044287735,21,0,153,1540.6153
68826,2025,Paul Hobbs,SR,Coast Guard,6,1497.6009999999999,1497.6009999999999,17.130714578370664,63,0,154,1541.3154
69200,2025,Dan Anderson,SR,Wis.-Whitewater,5,1434.4004,1434.4004,39.06816659304096,21,0,155,1542.7155
98485,2025,Ryan Van-de-Berghe,SO,Emory,5,1482.5008,1482.5008,18.788507943059273,7,0,156,1543.0156
83444,2025,Jack Elfenbaum,JR,Occidental,4,1492.0007,1492.0007,20.20056367163728,63,0,157,1543.2157
126356,2025,Jacob Bach,SO,Cornell College,4,1474.2003,1474.2003,15.266670809806643,21,0,158,1543.2158
95716,2025,Connor Hitt,SO,Suny Geneseo,5,1514.8206,1514.8206,24.86928979198244,50,0,159,1543.8159
63197,2025,Patrick Russell,SR,St. Lawrence,6,1511.5071,1511.5071,19.51250782143597,35,0,160,1544.016
75048,2025,Will Wise,SR,Wesleyan,4,1528.0028,1572.6077,11.908501452417195,21,0,161,1544.4161000000001
71163,2025,Mike Brown,SR,Wis.-Stevens Point,5,1486.6018,1491.7019,24.736818887367004,21,0,162,1544.9162000000001
71875,2025,Paul Proteau,SR,Wis.-Oshkosh,6,1486.0017,1486.0017,43.46255848527045,21,0,163,1544.9163
104052,2025,Andrew Thaler,SO,Wis.-Eau Claire,6,1508.8032,1508.8032,27.61275122163772,21,0,164,1545.1163999999999
71893,2025,Trent Chadwick,SR,Wis.-Oshkosh,6,1498.8023,1498.8023,33.19927832204677,21,0,165,1545.3165
