Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
5616,2021,Michael Ly,GR,Washington U.,5,1493.9,1493.9,40.486955924099775,35,0
6245,2021,Joel Bond,GR,Husson,7,1598.2,1598.2,63.141710109527075,7,0
6743,2021,Christopher Scharf,GR,Dickinson,5,1500.0,1522.0,14.448067921582645,21,0
6744,2021,Ryan Kredell,GR,Haverford,6,1505.0,1509.0,10.216408370851282,7,0
6750,2021,Peter Buckley,GR,Haverford,6,1530.0,1549.7,32.62563217778312,50,0
6751,2021,Charles Scharf,GR,Dickinson,5,1510.0,1548.0,21.381352207524746,35,0
6754,2021,Max Brelig,GR,Haverford,6,1502.0,1506.9,18.015895759023426,50,0
6760,2021,Aaron Bratt,GR,Haverford,5,1532.0,1534.6,30.281017155967586,50,0
6762,2021,Aidan Cantine,GR,Swarthmore,6,1499.0,1499.0,21.200869675558128,50,0
6763,2021,Jacob Dohery Munro,GR,Dickinson,4,1562.0,1600.9,16.16773192366678,35,0
6769,2021,Matthew Kleiman,GR,Johns Hopkins,5,1523.0,1523.0,24.63060849837045,64,0
6774,2021,Ian Spears,GR,Johns Hopkins,5,1555.0,1579.7,22.205784719302276,35,0
6778,2021,Nico Tripeny,GR,Haverford,6,1538.4,1538.4,30.223211278750632,50,0
8906,2021,Josh Fry,GR,Colorado College,6,1499.0,1499.0,55.797294339022876,35,0
9063,2021,Shane Houghton,GR,Moravian,7,1542.8,1542.8,76.93853130909122,7,0
9695,2021,David Fassbender,GR,Wis.-Whitewater,6,1457.0,1474.1,21.702585611447866,7,0
9698,2021,Ethan Gregg,GR,Wis.-La Crosse,4,1479.5,1479.5,31.93981645219645,21,0
9701,2021,Justin Krause,GR,Wis.-Whitewater,6,1504.0,1504.0,26.458269028793246,7,0
9702,2021,Kyle Neuroth,GR,Wis.-Whitewater,6,1504.4,1504.4,27.606666867906295,7,0
9703,2021,Michael Madoch,GR,Wis.-La Crosse,3,1571.0,1590.8,8.600000000000023,36,0
9705,2021,Conner Hackett,GR,Wis.-Whitewater,5,1545.0,1626.4,17.36023041321742,21,0
9708,2021,Ethan Thompson,GR,Wis.-La Crosse,4,1505.6,1505.6,25.090685522719404,7,0
10429,2021,Tucker Cargile,GR,Redlands,4,1473.0,1479.0,11.923180038153474,63,0
10435,2021,Paul McKinley,GR,Pomona-Pitzer,5,1497.4,1497.4,16.64264402070777,35,0
11466,2021,Colin Monaghan,GR,Puget Sound,6,1463.7,1463.7,34.098645134374465,35,0
11483,2021,Riley Stewart,GR,Pacific (Ore.),7,1482.0,1482.0,27.126719095550246,35,0
13034,2021,Drew Topoly,GR,Methodist,7,1495.0,1495.0,40.476584311809475,57,0
13427,2021,Jeffrey Love,GR,Connecticut College,5,1478.9,1478.9,27.295054497106225,35,0
13430,2021,Quin McGaugh,GR,Middlebury,6,1510.1,1510.1,47.814342920183385,49,0
13438,2021,Matt Carter,GR,Connecticut College,5,1477.2,1477.2,21.99259875503577,50,0
13452,2021,Collin O'Sullivan,GR,Tufts,6,1562.3,1562.3,47.274813590325266,35,0
13453,2021,Dalton Tanner,GR,Tufts,5,1584.3,1584.3,54.36664878397418,35,0
13462,2021,Max Cluss,GR,Middlebury,5,1526.0,1526.0,47.55824218786897,49,0
13467,2021,Luke Lorenz,GR,Middlebury,6,1566.3,1566.3,38.92247280028453,7,0
13479,2021,John Mieszczanski,GR,Bates,5,1591.8,1591.8,14.376091262926813,20,0
13480,2021,Oliver Printy,GR,Tufts,5,1582.0,1582.0,40.77593499847672,35,0
13699,2021,Tom Altier,GR,Luther,5,1490.7,1490.7,41.073294919637895,7,0
13700,2021,Will DeHaan,GR,Central College,7,1488.5,1488.5,40.29028005197615,7,0
13701,2021,Caleb Silver,GR,Central College,7,1485.8,1485.8,33.94533186692327,7,0
13765,2021,Andrew Stumbo,GR,Gustavus Adolphus,6,1499.2,1499.2,17.16384572291417,36,0
13772,2021,Tyler Cernohous,GR,Dubuque,7,1496.8,1496.8,45.776215166830895,7,0
13787,2021,Eliott Cassidy,GR,St. Olaf,6,1519.3,1519.3,21.377146675831195,7,0
13799,2021,Spencer Moon,GR,Simpson (Iowa),6,1485.2,1485.2,22.2476425717423,7,0
13801,2021,Isaac Wegner,GR,Wis.-La Crosse,4,1491.7,1491.7,24.797630935232505,7,0
13804,2021,Reuben Kosche,GR,St. Olaf,6,1540.0,1550.6,30.93800252117128,21,0
13820,2021,Derk Lyford,GR,St. Olaf,6,1556.0,1564.0,62.63457192317991,63,0
13887,2021,Chad Franz,GR,Wis.-La Crosse,4,1496.9,1496.9,33.68785946004879,7,0
15828,2021,Keanan Ginell,GR,Denison,6,1516.0,1516.8,22.44831563837255,7,0
15988,2021,Miles Takiguchi,GR,Vassar,7,1523.6,1523.6,13.343672657855462,35,0
15990,2021,Reed Dolan,GR,Vassar,7,1527.0,1533.9,13.049536390232412,35,0
15994,2021,Matthew Lecky,GR,RPI,6,1470.2,1470.2,25.128501746025343,50,0
15997,2021,Owen Szabo,GR,RPI,6,1539.0,1539.0,13.148475196767064,35,0
16006,2021,Johnathan Dean,GR,Vassar,7,1531.8,1531.8,18.272427315493704,42,0
16008,2021,Steven Spreizer,GR,RPI,6,1538.0,1538.0,23.014256451165224,50,0
16014,2021,Jack Casalino,GR,Vassar,7,1482.0,1548.0,16.621504143728973,35,0
16016,2021,Jason Gibbons,GR,RPI,6,1533.1,1533.1,31.13921000924721,50,0
16698,2021,Charlie Ferguson,GR,Haverford,5,1546.3,1546.3,20.199174900640585,50,0
16700,2021,Amos Karlsen,GR,Haverford,6,1572.4,1572.4,17.485476115908344,50,0
17635,2021,John O'Rourke,GR,Catholic,5,1538.9,1538.9,8.85141231668709,50,0
17648,2021,Christian Schaaf,GR,Elizabethtown,5,1582.6,1582.6,22.056946499660583,21,0
17732,2021,Aidan Ryan,GR,Williams,4,1432.9,1432.9,61.76699945943804,35,0
17733,2021,Elias Lindgren,GR,Williams,5,1482.0,1484.4,34.10684498748015,35,0
17748,2021,Ajay Sarathy,GR,Amherst,5,1533.2,1533.2,24.17574972984291,50,0
17749,2021,William Spollen,GR,Williams,5,1503.1,1503.1,35.89641346987192,35,0
17750,2021,Billy Massey,GR,Amherst,5,1186.0,1186.0,154.39560874584487,70,0
17751,2021,Braedon Fiume,GR,Amherst,5,1275.0,1275.0,149.55922739837888,70,0
17756,2021,Keon Mazdisnian,GR,Amherst,5,1234.0,1234.0,169.54713946274646,70,0
